Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
6,10824.000000,10,12,3092,1022,380081.3008130081300813008130,2032.520325203252032520325203,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10356.000000,10,12,3092,1022,397257.6284279644650444186945,2124.372344534569331788335265,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10151.000000,10,12,3092,1022,405280.2679538961678652349522,2167.274160181262929760614718,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,8450.000000,14,12,3380,1022,520946.7455621301775147928994,3076.923076923076923076923077,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,9180.000000,10,12,3092,1022,448148.1481481481481481481481,2396.514161220043572984749455,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10952.000000,10,12,3092,1022,375639.1526661796932067202337,2008.765522279035792549306063,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11156.000000,10,12,3092,1022,368770.1685191825026891358910,1972.032986733596271064897813,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10483.000000,14,12,3380,1022,419917.9624153391204807784031,2480.206047887055232280835639,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,9106.000000,12,14,3236,1166,483417.5269053371403470239403,2855.260267955194377333626181,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,10471.000000,14,12,3380,1022,420399.1977843567949575016713,2483.048419444179161493649126,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,10230.000000,12,14,3236,1142,427956.9892473118279569892473,2541.544477028347996089931574,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,10387.000000,10,12,3092,1022,396072.0130932896890343698854,2118.032155579089246173100992,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,12049.000000,10,12,3092,1022,341439.1235787202257448750934,1825.877666196364843555481783,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10157.000000,12,14,3236,1142,431032.7852712415083193856454,2559.810967805454366446785468,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,9931.000000,10,12,3092,1022,414258.3828416070889135031719,2215.285469741214379216594502,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9730.000000,12,12,3236,1022,437615.6217882836587872559096,2466.598150051387461459403905,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10537.000000,10,12,3092,1022,390433.7097845686628072506406,2087.880800986998196830217329,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9620.000000,10,12,3092,1022,427650.7276507276507276507277,2286.902286902286902286902287,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10357.000000,10,12,3092,1022,397219.2719899584821859611857,2124.167229892826107946316501,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
